A,A_print,F,p_star,p_max,PPR,AI,zone,length_cm,width_cm,participant,side,footstep
53.0,112.0,647.15,122.10377358490567,423.0,3.46426639882562,0.17300380228136883,toes,28.0,10.5,2,L,27
48.75,103.25,675.5,138.56410256410257,382.0,2.7568467801628422,0.2214765100671141,forefoot,28.5,10.0,2,R,28
48.25,99.75,583.975,121.03108808290155,679.0,5.610128858255919,0.20092378752886836,toes,28.5,9.0,2,L,29
51.25,109.75,613.775,119.76097560975609,349.0,2.914137916989125,0.23647294589178355,toes,28.5,10.0,2,R,30
55.75,120.0,621.4250000000001,111.4663677130045,301.0,2.7003660940580114,0.20682730923694778,forefoot,28.0,11.5,2,R,31
47.75,103.5,696.525,145.86910994764398,549.0,3.763648110261656,0.19298245614035087,toes,28.5,9.0,2,L,32
54.25,96.25,544.625,100.39170506912443,491.0,4.890842322699105,0.08232445520581114,heel,28.5,10.5,2,R,33
49.25,99.0,557.775,113.253807106599,364.0,3.2140199901393927,0.175704989154013,toes,27.5,10.0,2,L,34
70.5,127.25,953.1,135.19148936170214,724.0,5.355366698142902,0.21722846441947566,heel,29.5,11.0,2,R,35
50.75,107.75,644.9250000000001,127.07881773399018,389.0,3.061092375082373,0.21443298969072164,forefoot,29.0,9.5,2,R,36
55.0,114.0,748.2750000000001,136.05000000000004,472.0,3.4693127526644605,0.09911894273127753,forefoot,29.5,10.5,2,L,37
49.0,91.0,498.20000000000005,101.67346938775512,263.0,2.586712163789642,0.1794871794871795,forefoot,28.0,9.5,2,R,38
53.75,108.75,613.775,114.19069767441862,462.0,4.045863712272412,0.17768595041322313,toes,28.0,9.5,2,L,39
57.75,101.75,586.975,101.64069264069265,389.0,3.8272072916223006,0.19098712446351931,heel,28.0,11.5,2,R,40
58.25,127.75,816.45,140.16309012875539,599.0,4.273592994059648,0.22508591065292097,toes,29.5,10.5,2,L,41
54.75,114.25,816.975,149.2191780821918,571.0,3.8265858808409066,0.1865079365079365,forefoot,28.5,10.0,2,R,42
54.5,104.75,593.9250000000001,108.9770642201835,569.0,5.221282148419413,0.19654427645788336,heel,29.5,10.0,2,L,43
48.25,100.0,586.15,121.48186528497408,438.0,3.6054764138872306,0.14386792452830188,heel,29.0,9.5,2,R,44
68.5,116.0,936.4000000000001,136.7007299270073,738.0,5.398654421187526,0.16348195329087048,heel,28.5,10.0,2,L,45
45.25,94.25,462.35,102.1767955801105,486.0,4.7564615550989515,0.16527196652719664,toes,28.5,10.0,2,L,46
53.0,119.75,668.725,126.1745283018868,538.0,4.2639351003775845,0.2202729044834308,forefoot,28.0,10.5,2,R,47
54.5,109.5,718.6500000000001,131.86238532110093,490.0,3.715995268906978,0.16427104722792607,forefoot,28.0,11.0,2,L,48
44.75,103.75,447.95000000000005,100.10055865921788,325.0,3.2467351266882463,0.20657276995305165,forefoot,28.5,9.5,2,R,49
69.0,114.5,685.6750000000001,99.37318840579712,435.0,4.377438290735406,0.20925553319919518,heel,28.5,9.5,2,L,50
54.5,124.75,734.1750000000001,134.71100917431195,617.0,4.580175026390165,0.21388367729831145,forefoot,29.0,11.0,2,L,51
54.25,108.25,715.9250000000001,131.96774193548387,455.0,3.447812270838426,0.17857142857142858,forefoot,28.0,10.5,2,R,52
53.75,107.0,554.6,103.18139534883723,569.0,5.514560043274431,0.16993464052287582,toes,27.0,9.0,2,L,53
53.25,104.25,638.0500000000001,119.82159624413147,500.0,4.172870464697124,0.09885057471264368,heel,29.5,10.0,2,R,54
67.75,112.75,1031.275,152.21771217712177,1419.0,9.32217400790284,0.18876404494382024,heel,28.5,9.5,2,L,55
45.0,93.0,470.20000000000005,104.48888888888891,313.0,2.9955338153977027,0.1515837104072398,forefoot,28.0,9.5,2,L,56
57.5,112.25,788.7,137.16521739130434,429.0,3.1276150627615067,0.19615384615384615,forefoot,28.0,10.5,2,R,57
53.75,115.5,751.5500000000001,139.82325581395352,441.0,3.1539817710065856,0.1883495145631068,forefoot,27.5,10.0,2,L,58
44.0,100.5,533.475,121.24431818181817,520.0,4.288860771357609,0.21962616822429906,toes,27.5,8.5,2,R,59
83.75,111.0,741.625,88.55223880597015,317.0,3.579807854373841,0.20618556701030927,heel,26.5,9.5,2,L,60
